Name,Brand channel,Subscribers (millions),Primary language,Category,Country
T-Series,Yes,263,Hindi,Music,India
MrBeast,No,251,English,Entertainment,United States
Cocomelon - Nursery Rhymes,Yes,174,English,Education,United States
SET India,Yes,171,Hindi,Entertainment,India
Kids Diana Show,Yes,121,English,Entertainment,United States / Ukraine
Vlad and Niki,No,116,English,Entertainment,Russia / United States
Like Nastya,No,114,English,Entertainment,Russia / United States
PewDiePie,No,111,English,Entertainment,Sweden
Zee Music Company,Yes,106,Hindi,Music,India
WWE,Yes,101,English,Sports,United States
Goldmines,Yes,96,Hindi,Film,India
Blackpink,No,93.4,Korean,Music,South Korea
Sony SAB,Yes,90.9,Hindi,Entertainment,India
ChuChu TV Nursery Rhymes & Kids Songs,Yes,90.8,Hindi,Education,India
5-Minute Crafts,Yes,80.6,English,How-to,Cyprus
Pinkfong,Yes,80,English,Education,South Korea
Zee TV,Yes,79.3,Hindi,Entertainment,India
BANGTANTV,No,77.8,Korean,Music,South Korea
Hybe Labels,Yes,74.4,Korean,Music,South Korea
Justin Bieber,No,72.8,English,Music,Canada
Colors TV,Yes,71.7,Hindi,Entertainment,India
Shemaroo Filmi Gaane,Yes,68.1,Hindi,Music,India
T-Series Bhakti Sagar,Yes,67.1,Hindi,Music,India
Canal KondZilla,Yes,67,Portuguese,Music,Brazil
Tips Official,Yes,65.1,Hindi,Entertainment,India
El Reino Infantil,Yes,63.6,Spanish,Music,Argentina
Aaj Tak,Yes,63.2,Hindi,News,India
Wave Music,Yes,61.5,Bhojpuri,Music,India
Infobells - Hindi,Yes,61.2,Hindi,Education,India
Movieclips,Yes,61.1,English,Film,United States
Dude Perfect,No,60.1,English,Sports,United States
Sony Music India,Yes,59.8,Hindi,Music,India
Eminem Music,No,59.4,English,Music,United States
YRF,Yes,59.3,Hindi,Music,India
Taylor Swift,No,57.2,English,Music,United States
Marshmello,No,57,English,Music,United States
LooLoo Kids,Yes,56.5,English,Music,Romania
BillionSurpriseToys,Yes,56.4,English,Entertainment,United States
Ed Sheeran,No,54.5,English,Music,United Kingdom
Toys and Colors,No,54.3,English,Entertainment,United States
Ariana Grande,No,54,English,Music,United States
A4,No,53.1,Russian,Entertainment,Belarus
Shemaroo,Yes,52.8,Hindi,Entertainment,India
ZAMZAM ELECTRONICS TRADING,No,52.7,Arabic,Entertainment,United Arab Emirates
ARY Digital HD,Yes,52.4,Urdu,Entertainment,Pakistan
HAR PAL GEO,Yes,52.4,Urdu,Entertainment,Pakistan
Get Movies,Yes,50.2,Russian,Entertainment,Russia
SonyMusicIndiaVEVO,Yes,49.8,Hindi,Music,India
JuegaGerman,No,49.7,Spanish,Entertainment,Chile
Billie Eilish,No,49.3,English,Music,United States
